heatsinks_bottom_coefficient,heatsinks_top_coefficient,layers_bottomlayer_power,layers_bottomlayer_sourcetier,layers_bottomlayer_tiers_beol,layers_bottomlayer_tiers_si,layers_bottomlayer_tiers_sio2,layers_compute_power,layers_compute_sourcetier,layers_compute_tiers_beol,layers_compute_tiers_interthermal,layers_compute_tiers_sio2,layers_memory_power,layers_memory_sourcetier,layers_memory_tiers_beol,layers_memory_tiers_beol2,layers_memory_tiers_interthermal,layers_memory_tiers_mem,layers_memory_tiers_sio2,materials_beol_C,materials_beol_k,materials_beol2_C,materials_beol2_k,materials_interthermal_C,materials_interthermal_k,materials_mem_C,materials_mem_k,materials_si_C,materials_si_k,materials_sio2_C,materials_sio2_k,ncompute,nmemory,nrepeats,T
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,0,1,2,33.410000000000025
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,0,3,2,37.51000000000005
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,0,7,2,53.07000000000005
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,0,10,2,71.18
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,1,2,51.400000000000034
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,3,2,60.53000000000003
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,7,2,86.15000000000003
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,1,10,2,111.80000000000001
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,2,1,2,75.56
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,2,3,2,89.72000000000003
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,2,7,2,125.39000000000004
10,200000.0,100,1,0.9,50,0.1,100,1,0.9,1,0.1,7,1,0.9,0.9,1,0.5,0.1,1496000.0,2,1496000.0,2,1496000.0,1,1496000.0,2.48,1628000.0,130,1496000.0,1.1,2,10,2,158.58000000000004
