heatsinks_bottom_coefficient,heatsinks_top_coefficient,layers_layerdict_bottomlayer_power,layers_layerdict_bottomlayer_tiers_beol,layers_layerdict_compute_power,materials_beol_k,materials_beol2_k,materials_transistors_k,materials_transistors2_k,ncompute,Tj,Tavg,Tavg0,Tavg1,Tavg2
10,20000.0,23.072,0.34,23.072,2,2,2,2,1,70.98,38.54,38.54
10,20000.0,23.072,0.34,23.072,2,2,2,2,2,81.38,50.32,50.24,50.40
10,20000.0,23.072,0.34,23.072,2,2,2,2,3,168.73,62.70,61.93,62.25,63.93
10,20000.0,23.072,0.34,23.072,2,2,4,4,1,70.63,38.53,38.53
10,20000.0,23.072,0.34,23.072,2,2,4,4,2,81.00,50.27,50.21,50.34
10,20000.0,23.072,0.34,23.072,2,2,4,4,3,166.63,62.61,61.89,62.15,63.80
10,20000.0,23.072,0.34,23.072,2,2,8,8,1,70.45,38.52,38.52
10,20000.0,23.072,0.34,23.072,2,2,8,8,2,80.80,50.25,50.19,50.31
10,20000.0,23.072,0.34,23.072,2,2,8,8,3,165.53,62.57,61.87,62.10,63.73
10,20000.0,23.072,0.34,23.072,2,2,16,16,1,70.35,38.52,38.52
10,20000.0,23.072,0.34,23.072,2,2,16,16,2,80.68,50.24,50.19,50.30
10,20000.0,23.072,0.34,23.072,2,2,16,16,3,164.88,62.54,61.85,62.07,63.70
10,20000.0,23.072,0.34,23.072,2,4,2,2,1,70.98,38.54,38.54
10,20000.0,23.072,0.34,23.072,2,4,2,2,2,81.30,50.32,50.24,50.40
10,20000.0,23.072,0.34,23.072,2,4,2,2,3,149.19,62.44,61.93,62.25,63.13
10,20000.0,23.072,0.34,23.072,2,4,4,4,1,70.63,38.53,38.53
10,20000.0,23.072,0.34,23.072,2,4,4,4,2,80.92,50.27,50.21,50.34
10,20000.0,23.072,0.34,23.072,2,4,4,4,3,147.13,62.35,61.89,62.15,63.00
10,20000.0,23.072,0.34,23.072,2,4,8,8,1,70.45,38.52,38.52
